name,village,skill1,skill2,experience
suhail,Budingod,labourer,security,I work as a labourer for many years now
raja babu,Aladakatti,factory worker,guard,I want to be employed as a factory worker since I am out of work
sambhu,Bandakeri,factory worker,labour,"I used to work as a factory worker and roam around for work, but I cannot anymore"
lavtar singh,Bandakeri,security,labourer,I work as a security for many years now
om prakash,Bandakeri,labour,industry worker,I work as a labour for many years now
sarain,Aladakatti,warden,labourer,I am a warden and things have been difficult during pandemic
pulkit sharma,Aladakatti,security,production helper,"I used to work as a security and roam around for work, but I cannot anymore"
suraj,Aladakatti,security,industry worker,I want to be employed as a security since I am out of work
sandeep kumar,Aladakatti,labour,security,I am an old man working around as a labour since 2010
sheru khan,Budingod,mason,warden,I used to work in the city as a mason when I started off in 2010 and I am unable to migrate since the pandemic
yameen,Bandakeri,labour,guard,I am currently a labour and have been one since 2010 and I have no job since the pandemic
vinod lal,Aladakatti,mason,security,I am currently a mason and have been one since 2010 and I have no job since the pandemic
akshay kumar,Bandakeri,watchman,production helper,"from year 2010 until recently, I worked as a watchman around the village, and I have migrated to a lot of places"
parth madan,Bandakeri,machine operator,mason,I want to be employed as a machine operator since I am out of work
vivek auhari,Aladakatti,warden,labour,"from year 2010 until recently, I worked as a warden around the village, and I have migrated to a lot of places"
rahul,Aladakatti,machine operator,labourer,I want to be employed as a machine operator since I am out of work
bhupender,Aladakatti,production helper,labor,I am an old man working around as a production helper since 2010
sunder,Bandakeri,factory worker,watchman,I work as a factory worker for many years now
inderjeet mandal,Bandakeri,mason,factory worker,I work as a mason for many years now
abhishek,Aladakatti,factory worker,construction worker,"Since 2010, I worked on many sites as factory worker and I am no longer able to work"
firakat ali,Bandakeri,industry worker,construction worker,I used to work in the city as a industry worker when I started off in 2010 and I am unable to migrate since the pandemic
mohan kumar,Aladakatti,warden,factory worker,I am currently a warden and have been one since 2010 and I have no job since the pandemic
adersen,Bandakeri,warden,factory worker,"I used to work as a warden and roam around for work, but I cannot anymore"
kanheya,Bandakeri,labourer,production helper,I am a labourer and things have been difficult during pandemic
rajender kumar,Budingod,production helper,warden,I am currently a production helper and have been one since 2010 and I have no job since the pandemic
aman dahiya,Bandakeri,construction worker,guard,I am currently a construction worker and have been one since 2010 and I have no job since the pandemic
santosh,Aladakatti,machine operator,chaukidaar,I used to work in the city as a machine operator when I started off in 2010 and I am unable to migrate since the pandemic
kuldeep,Bandakeri,security,machine operator,I have been looking for work as a security for a long time now
jaipal,Bandakeri,labor,factory worker,"I used to work as a labor and roam around for work, but I cannot anymore"
kuldeep,Aladakatti,machine operator,labour,I used to work in the city as a machine operator when I started off in 2010 and I am unable to migrate since the pandemic
sunil,Bandakeri,machine operator,watchman,I am a machine operator and things have been difficult during pandemic
haider ali,Budingod,machinery handler,labour,I am currently a machinery handler and have been one since 2010 and I have no job since the pandemic
ram dutt,Budingod,chaukidaar,machinery handler,I want to be employed as a chaukidaar since I am out of work
satender,Aladakatti,industry worker,chaukidaar,I want to be employed as a industry worker since I am out of work
chetanya swaroop,Bandakeri,factory worker,labourer,"Since 2010, I worked on many sites as factory worker and I am no longer able to work"
amar singh mahar,Budingod,labourer,warden,I work as a labourer for many years now
mohd aakib,Aladakatti,production helper,security,"I used to work as a production helper and roam around for work, but I cannot anymore"
vinay,Budingod,machinery handler,watchman,"I used to work as a machinery handler and roam around for work, but I cannot anymore"
rakesh,Budingod,watchman,labour,I am an old man working around as a watchman since 2010
vivek,Bandakeri,watchman,machinery handler,I have been looking for work as a watchman for a long time now
yasib,Bandakeri,construction worker,factory worker,"from year 2010 until recently, I worked as a construction worker around the village, and I have migrated to a lot of places"
midda,Aladakatti,mason,security,I am a mason and things have been difficult during pandemic
suresh kumar,Budingod,machine operator,chaukidaar,I am currently a machine operator and have been one since 2010 and I have no job since the pandemic
nand kishore,Budingod,mason,guard,I am an old man working around as a mason since 2010
sourav @ sumit,Budingod,factory worker,watchman,"I used to work as a factory worker and roam around for work, but I cannot anymore"
saurabh,Bandakeri,production helper,mason,I am a production helper and things have been difficult during pandemic
shashank sharma,Budingod,factory worker,labourer,I am a factory worker and things have been difficult during pandemic
rohit,Aladakatti,labourer,machine operator,"Since 2010, I worked on many sites as labourer and I am no longer able to work"
sanjay,Aladakatti,factory worker,labour,I work as a factory worker for many years now
abhishek yadav,Budingod,mason,production helper,I used to work in the city as a mason when I started off in 2010 and I am unable to migrate since the pandemic
dilip,Budingod,factory worker,warden,I want to be employed as a factory worker since I am out of work
charan jeet singh,Aladakatti,production helper,warden,I am an old man working around as a production helper since 2010
pawan singh,Budingod,construction worker,chaukidaar,I am an old man working around as a construction worker since 2010
durgesh,Aladakatti,factory worker,labourer,I used to work in the city as a factory worker when I started off in 2010 and I am unable to migrate since the pandemic
niraj,Aladakatti,factory worker,guard,"Since 2010, I worked on many sites as factory worker and I am no longer able to work"
mohan singh,Aladakatti,chaukidaar,labor,I work as a chaukidaar for many years now
tufel,Budingod,mason,machinery handler,I want to be employed as a mason since I am out of work
vikas gupta,Aladakatti,construction worker,machine operator,I have been looking for work as a construction worker for a long time now
gourav,Bandakeri,production helper,security,I work as a production helper for many years now
rohit kumar,Bandakeri,warden,production helper,I am a warden and things have been difficult during pandemic
manjeet kumar,Budingod,watchman,mason,"Since 2010, I worked on many sites as watchman and I am no longer able to work"
akash,Bandakeri,machinery handler,mason,I used to work in the city as a machinery handler when I started off in 2010 and I am unable to migrate since the pandemic
ravi parkash solanki,Budingod,factory worker,construction worker,"Since 2010, I worked on many sites as factory worker and I am no longer able to work"
sandeep,Aladakatti,labor,warden,I am currently a labor and have been one since 2010 and I have no job since the pandemic
devinder chadda,Aladakatti,watchman,labour,I am a watchman and things have been difficult during pandemic
jai kishan,Bandakeri,labour,industry worker,"from year 2010 until recently, I worked as a labour around the village, and I have migrated to a lot of places"
vijay,Bandakeri,guard,construction worker,"Since 2010, I worked on many sites as guard and I am no longer able to work"
sachin,Aladakatti,machine operator,construction worker,I have been looking for work as a machine operator for a long time now
raj kumar,Bandakeri,production helper,watchman,I am an old man working around as a production helper since 2010
inderpal,Bandakeri,chaukidaar,factory worker,I work as a chaukidaar for many years now
sahdab,Budingod,warden,factory worker,"I used to work as a warden and roam around for work, but I cannot anymore"
molu,Aladakatti,chaukidaar,labor,I work as a chaukidaar for many years now
nabav shekh,Budingod,warden,industry worker,"Since 2010, I worked on many sites as warden and I am no longer able to work"
mohd afzal,Aladakatti,production helper,labourer,I am a production helper and things have been difficult during pandemic
same singh,Budingod,machine operator,labour,I work as a machine operator for many years now
suresh paswan @ madari,Budingod,labourer,industry worker,I am a labourer and things have been difficult during pandemic
mukesh kumar yogi,Bandakeri,construction worker,production helper,"from year 2010 until recently, I worked as a construction worker around the village, and I have migrated to a lot of places"
ajay kumar,Budingod,guard,mason,I work as a guard for many years now
ashok,Budingod,machine operator,guard,I work as a machine operator for many years now
salman,Aladakatti,mason,warden,"I used to work as a mason and roam around for work, but I cannot anymore"
md. raju,Aladakatti,labor,machine operator,I want to be employed as a labor since I am out of work
abdul rehman,Budingod,production helper,labourer,I am currently a production helper and have been one since 2010 and I have no job since the pandemic
rajesh agarwal,Bandakeri,labour,watchman,I work as a labour for many years now
pramod paswan,Bandakeri,warden,labourer,I have been looking for work as a warden for a long time now
rijul aggarwal,Aladakatti,warden,industry worker,I want to be employed as a warden since I am out of work
deepak,Aladakatti,watchman,production helper,I work as a watchman for many years now
sarad raghuvansi,Budingod,mason,industry worker,"from year 2010 until recently, I worked as a mason around the village, and I have migrated to a lot of places"
raman @ rancho,Bandakeri,chaukidaar,industry worker,"I used to work as a chaukidaar and roam around for work, but I cannot anymore"
chotelal,Aladakatti,chaukidaar,construction worker,I used to work in the city as a chaukidaar when I started off in 2010 and I am unable to migrate since the pandemic
banwari lal bairwa,Budingod,factory worker,labour,"Since 2010, I worked on many sites as factory worker and I am no longer able to work"
kaif,Budingod,labour,warden,I used to work in the city as a labour when I started off in 2010 and I am unable to migrate since the pandemic
ankush @ shera,Bandakeri,labour,security,"from year 2010 until recently, I worked as a labour around the village, and I have migrated to a lot of places"
chetan pandey,Budingod,factory worker,labour,"from year 2010 until recently, I worked as a factory worker around the village, and I have migrated to a lot of places"
ram dutt gupta,Aladakatti,labourer,factory worker,"Since 2010, I worked on many sites as labourer and I am no longer able to work"
abbas mehndi,Budingod,watchman,labour,"I used to work as a watchman and roam around for work, but I cannot anymore"
ram suresh @ babloo,Budingod,construction worker,machine operator,I want to be employed as a construction worker since I am out of work
jagdish,Aladakatti,labor,factory worker,I am an old man working around as a labor since 2010
mohd. mukhtaar,Aladakatti,mason,production helper,I am currently a mason and have been one since 2010 and I have no job since the pandemic
ajay,Bandakeri,production helper,labour,"Since 2010, I worked on many sites as production helper and I am no longer able to work"
bir singh,Budingod,labourer,industry worker,I am currently a labourer and have been one since 2010 and I have no job since the pandemic
rakesh,Aladakatti,guard,construction worker,I am currently a guard and have been one since 2010 and I have no job since the pandemic
rahul kumar,Aladakatti,factory worker,chaukidaar,I am a factory worker and things have been difficult during pandemic
sparsh,Aladakatti,industry worker,watchman,"I used to work as a industry worker and roam around for work, but I cannot anymore"
pankaj,Bandakeri,warden,production helper,I am an old man working around as a warden since 2010
mohd faijan,Bandakeri,watchman,labour,I am an old man working around as a watchman since 2010
baban @ suresh,Bandakeri,factory worker,chaukidaar,I am a factory worker and things have been difficult during pandemic
deepak rana,Bandakeri,construction worker,watchman,"I used to work as a construction worker and roam around for work, but I cannot anymore"
pooran chand sharma,Aladakatti,labour,factory worker,"Since 2010, I worked on many sites as labour and I am no longer able to work"
saddam,Bandakeri,security,industry worker,I am currently a security and have been one since 2010 and I have no job since the pandemic
pankaj kumar,Aladakatti,mason,security,"I used to work as a mason and roam around for work, but I cannot anymore"
krishan,Bandakeri,mason,machinery handler,"from year 2010 until recently, I worked as a mason around the village, and I have migrated to a lot of places"
avinash,Bandakeri,production helper,warden,I am currently a production helper and have been one since 2010 and I have no job since the pandemic
sachin kumal taneja,Budingod,industry worker,watchman,"I used to work as a industry worker and roam around for work, but I cannot anymore"
suraj singh,Aladakatti,construction worker,industry worker,I am currently a construction worker and have been one since 2010 and I have no job since the pandemic
rohit,Bandakeri,guard,labour,I have been looking for work as a guard for a long time now
rustam shah,Aladakatti,guard,labor,"Since 2010, I worked on many sites as guard and I am no longer able to work"
deepak kamat,Budingod,construction worker,watchman,I am an old man working around as a construction worker since 2010
jahoor ahmed meer,Aladakatti,watchman,mason,I am a watchman and things have been difficult during pandemic
rajbir,Aladakatti,machinery handler,construction worker,I am a machinery handler and things have been difficult during pandemic
sarbjeet @ ronak,Aladakatti,labourer,chaukidaar,I am currently a labourer and have been one since 2010 and I have no job since the pandemic
mohd kausar,Aladakatti,watchman,labor,I have been looking for work as a watchman for a long time now
om parkash,Budingod,guard,labor,I have been looking for work as a guard for a long time now
vinit katariya,Aladakatti,machinery handler,labor,I used to work in the city as a machinery handler when I started off in 2010 and I am unable to migrate since the pandemic
jalil ansari,Bandakeri,labor,machinery handler,I want to be employed as a labor since I am out of work
sandeep meghawal,Aladakatti,machine operator,chaukidaar,I am a machine operator and things have been difficult during pandemic
vinod,Bandakeri,labor,factory worker,I am currently a labor and have been one since 2010 and I have no job since the pandemic
akash gupta,Aladakatti,machinery handler,labour,I work as a machinery handler for many years now
laxman,Budingod,mason,machine operator,"Since 2010, I worked on many sites as mason and I am no longer able to work"
vansu dev,Aladakatti,labourer,machinery handler,I used to work in the city as a labourer when I started off in 2010 and I am unable to migrate since the pandemic
gorav,Bandakeri,chaukidaar,machinery handler,"from year 2010 until recently, I worked as a chaukidaar around the village, and I have migrated to a lot of places"
gaurav,Aladakatti,labourer,production helper,I used to work in the city as a labourer when I started off in 2010 and I am unable to migrate since the pandemic
mushir ahmed,Bandakeri,mason,chaukidaar,"Since 2010, I worked on many sites as mason and I am no longer able to work"
dinesh singh,Bandakeri,warden,machinery handler,I want to be employed as a warden since I am out of work
jagdish chand,Bandakeri,machinery handler,mason,I want to be employed as a machinery handler since I am out of work
arman ansari,Aladakatti,mason,machinery handler,I am a mason and things have been difficult during pandemic
andhav,Bandakeri,guard,labor,"from year 2010 until recently, I worked as a guard around the village, and I have migrated to a lot of places"
ajay,Bandakeri,chaukidaar,labourer,"from year 2010 until recently, I worked as a chaukidaar around the village, and I have migrated to a lot of places"
sanjeev,Budingod,watchman,machinery handler,I want to be employed as a watchman since I am out of work
dinesh,Aladakatti,machinery handler,labour,I work as a machinery handler for many years now
kasid,Aladakatti,labour,machine operator,"I used to work as a labour and roam around for work, but I cannot anymore"
deepak verma,Bandakeri,security,factory worker,I want to be employed as a security since I am out of work
tejvir,Budingod,construction worker,machine operator,I am currently a construction worker and have been one since 2010 and I have no job since the pandemic
aman,Aladakatti,factory worker,chaukidaar,I have been looking for work as a factory worker for a long time now
suraj,Budingod,warden,mason,"I used to work as a warden and roam around for work, but I cannot anymore"
rahul,Budingod,labourer,warden,I used to work in the city as a labourer when I started off in 2010 and I am unable to migrate since the pandemic
jai singh,Aladakatti,production helper,labour,I am a production helper and things have been difficult during pandemic
bablu,Bandakeri,production helper,labor,I want to be employed as a production helper since I am out of work
dharmender,Bandakeri,labor,chaukidaar,I am an old man working around as a labor since 2010
karan,Bandakeri,guard,labor,I used to work in the city as a guard when I started off in 2010 and I am unable to migrate since the pandemic
mohan,Aladakatti,chaukidaar,construction worker,I am currently a chaukidaar and have been one since 2010 and I have no job since the pandemic
dev,Budingod,mason,security,I want to be employed as a mason since I am out of work
shishram,Bandakeri,factory worker,mason,I have been looking for work as a factory worker for a long time now
sandeep,Aladakatti,security,labor,I used to work in the city as a security when I started off in 2010 and I am unable to migrate since the pandemic
sanjay,Aladakatti,construction worker,industry worker,I want to be employed as a construction worker since I am out of work
mukesh,Budingod,security,mason,I want to be employed as a security since I am out of work
shsi kant,Bandakeri,mason,factory worker,I work as a mason for many years now
sameer,Budingod,industry worker,labor,I want to be employed as a industry worker since I am out of work
pankaj ratori,Budingod,construction worker,machine operator,"from year 2010 until recently, I worked as a construction worker around the village, and I have migrated to a lot of places"
lilu,Budingod,machinery handler,labor,"I used to work as a machinery handler and roam around for work, but I cannot anymore"
sharat chandran,Aladakatti,labour,production helper,I work as a labour for many years now
sehboob,Bandakeri,warden,construction worker,I have been looking for work as a warden for a long time now
birjesh,Aladakatti,labor,security,I want to be employed as a labor since I am out of work
sobit saini,Bandakeri,security,factory worker,"I used to work as a security and roam around for work, but I cannot anymore"
pooran chand,Aladakatti,machinery handler,warden,"I used to work as a machinery handler and roam around for work, but I cannot anymore"
radheyshyam saini,Budingod,machinery handler,watchman,"I used to work as a machinery handler and roam around for work, but I cannot anymore"
azruddin,Bandakeri,security,construction worker,I want to be employed as a security since I am out of work
monu,Bandakeri,machinery handler,construction worker,I work as a machinery handler for many years now
dinesh kumar,Aladakatti,warden,mason,"I used to work as a warden and roam around for work, but I cannot anymore"
murari,Aladakatti,construction worker,watchman,I want to be employed as a construction worker since I am out of work
ankit,Budingod,machinery handler,labour,"Since 2010, I worked on many sites as machinery handler and I am no longer able to work"
nanagram,Bandakeri,watchman,factory worker,"I used to work as a watchman and roam around for work, but I cannot anymore"
aamod & pramod,Bandakeri,factory worker,security,"from year 2010 until recently, I worked as a factory worker around the village, and I have migrated to a lot of places"
suresh,Bandakeri,machine operator,warden,"I used to work as a machine operator and roam around for work, but I cannot anymore"
arsh,Budingod,mason,chaukidaar,I am an old man working around as a mason since 2010
kailash kumar,Aladakatti,machinery handler,chaukidaar,"Since 2010, I worked on many sites as machinery handler and I am no longer able to work"
sumit,Aladakatti,guard,factory worker,"from year 2010 until recently, I worked as a guard around the village, and I have migrated to a lot of places"
jaswant singh,Aladakatti,chaukidaar,labourer,"Since 2010, I worked on many sites as chaukidaar and I am no longer able to work"
sunder paal,Aladakatti,security,machine operator,I work as a security for many years now
rahul,Aladakatti,production helper,labor,"from year 2010 until recently, I worked as a production helper around the village, and I have migrated to a lot of places"
anil kumar,Budingod,watchman,labourer,I want to be employed as a watchman since I am out of work
sagar,Bandakeri,machinery handler,chaukidaar,I used to work in the city as a machinery handler when I started off in 2010 and I am unable to migrate since the pandemic
sunil ladkani,Bandakeri,production helper,watchman,"from year 2010 until recently, I worked as a production helper around the village, and I have migrated to a lot of places"
khuma ram,Budingod,labourer,warden,"from year 2010 until recently, I worked as a labourer around the village, and I have migrated to a lot of places"
manish garg,Aladakatti,watchman,industry worker,I used to work in the city as a watchman when I started off in 2010 and I am unable to migrate since the pandemic
chanchal,Budingod,machinery handler,labor,I am a machinery handler and things have been difficult during pandemic
ram ldaike,Bandakeri,industry worker,labor,"from year 2010 until recently, I worked as a industry worker around the village, and I have migrated to a lot of places"
ramsurat,Budingod,guard,labour,I want to be employed as a guard since I am out of work
inderjeet,Bandakeri,chaukidaar,construction worker,I have been looking for work as a chaukidaar for a long time now
vivek sharma,Aladakatti,guard,labor,"I used to work as a guard and roam around for work, but I cannot anymore"
shakir,Bandakeri,industry worker,labour,I want to be employed as a industry worker since I am out of work
phoolwati @ phoolo devi,Aladakatti,watchman,machinery handler,"from year 2010 until recently, I worked as a watchman around the village, and I have migrated to a lot of places"
amil,Budingod,security,machine operator,I am currently a security and have been one since 2010 and I have no job since the pandemic
pardeep kumar,Budingod,machine operator,labourer,"I used to work as a machine operator and roam around for work, but I cannot anymore"
rohit,Aladakatti,labour,production helper,"I used to work as a labour and roam around for work, but I cannot anymore"
karan,Aladakatti,labourer,warden,"I used to work as a labourer and roam around for work, but I cannot anymore"
doodhnath pandit,Aladakatti,watchman,labour,I want to be employed as a watchman since I am out of work
ankit,Aladakatti,guard,industry worker,I used to work in the city as a guard when I started off in 2010 and I am unable to migrate since the pandemic
aditya som,Aladakatti,warden,machine operator,I used to work in the city as a warden when I started off in 2010 and I am unable to migrate since the pandemic
sagar,Bandakeri,chaukidaar,machine operator,I am an old man working around as a chaukidaar since 2010
gulfam,Aladakatti,labourer,security,I am a labourer and things have been difficult during pandemic
lakshman nath,Bandakeri,warden,mason,"I used to work as a warden and roam around for work, but I cannot anymore"
